"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Pîrvulescu Bogdan,Director/directorat,"4 5,356","272,136"
76,MINISTERUL ENERGIEI,TITAN POWER,40817209,Marian Luiza,Membru CA/CS,"1 6,500","198,000"
76,MINISTERUL ENERGIEI,TITAN POWER,40817209,Georgescu Ionel,Membru CA/CS,"1 6,500","198,000"
"",MINISTERUL ENERGIEI,TITAN POWER,40817209,Ionescu Mirela,Membru CA/CS,"1 6,500","198,000"
76,MINISTERUL ENERGIEI,TITAN POWER,40817209,Offenberg Iulian,Director/directorat,"25,641","615,384"
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Popescu Luminița Georgeta,Membru CA/CS,"2 1,332",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Călinoiu Ionel-Cătălin,Membru CA/CS,"2 1,333",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Rogojinaru Viorel,Membru CA/CS,"2 1,334",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Marinescu Constantin-Adrian,Membru CA/CS,"2 1,335",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Costescu Marian-Dan,Membru CA/CS,"2 1,336",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Dăianu Adrian,Membru CA/CS,"2 1,337",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Ion Valeriu Ionita ( Fp),Membru CA/CS,"2 1,338",-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Plaveti Iulius Dan,Director/directorat,35274 - 70548,-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Trufelea Constantin Cosmin,Director/directorat,35274 - 70548,-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Bălășoiu Ion,Director/directorat,35274 - 70548,-
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Vacant,Director/directorat,,
77,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC OLTENIA,30267310,Vacant,Director/directorat,,
78,MINISTERUL ENERGIEI,MINPREST SERV,14814483,Brînzan Adela,Membru CA/CS,"2,780",-
78,MINISTERUL ENERGIEI,MINPREST SERV,14814483,Lungu Ion,Membru CA/CS,"2,780",-
78,MINISTERUL ENERGIEI,MINPREST SERV,14814483,Bejinaru Maria Mădălina,Membru CA/CS,"2,780",-
78,MINISTERUL ENERGIEI,MINPREST SERV,14814483,Țein Maria Mihaela,Membru CA/CS,"2,780",-
"",MINISTERUL ENERGIEI,MINPREST SERV,14814483,Drăgulescu Mădălina Maria,Membru CA/CS,"2,780",-
78,MINISTERUL ENERGIEI,MINPREST SERV,14814483,Vacant,Director/directorat,,
79,MINISTERUL ENERGIEI,MEDSERV MIN,14814475,Popescu Georgiana,Membru CA/CS,"3,000",-
79,MINISTERUL ENERGIEI,MEDSERV MIN,14814475,Tălău Ioana,Membru CA/CS,"3,000",-
79,MINISTERUL ENERGIEI,MEDSERV MIN,14814475,Guță Robert Ciprian,Membru CA/CS,"3,000",-
79,MINISTERUL ENERGIEI,MEDSERV MIN,14814475,Giorgi Gabriel Giorgian,Director/directorat,"1 8,000",-
79,MINISTERUL ENERGIEI,MEDSERV MIN,14814475,Păun Ecaterina,Director/directorat,"9,500",-
80,MINISTERUL ENERGIEI,CCGT POWER IȘALNIȚA,48790613,Butnaru Iulian-Marian,Membru CA/CS,"2 9,000",-
80,MINISTERUL ENERGIEI,CCGT POWER IȘALNIȚA,48790613,Bălu Ovidiu,Membru CA/CS,"1 2,000",-
80,MINISTERUL ENERGIEI,CCGT POWER IȘALNIȚA,48790613,Stoenac Dragoș-Marian,Membru CA/CS,"1 2,000",-
80,MINISTERUL ENERGIEI,CCGT POWER IȘALNIȚA,48790613,Vintilă Mihai-Adrian,Director/directorat,"2 5,641",-
80,MINISTERUL ENERGIEI,CCGT POWER IȘALNIȚA,48790613,Costescu Olga,Director/directorat,"2 3,932",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Ducu Marian - Cătălin,Membru CA/CS,-,-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Uta Ion Octavian,Membru CA/CS,-,-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Trancotă Daniela,Membru CA/CS,"1 1,883",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Fulgernicolae,Membru CA/CS,"1 1,883",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Mișa Ionuț,Membru CA/CS,"1 1,883",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Bărîcă Gheorghe,Membru CA/CS,"1 1,883",-
"",MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Ioniță Gheorghe,Membru CA/CS,"1 1,883",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Ută Ion Octavian,Director/directorat,"6 4,519",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Ducu Marian - Cătălin,Director/directorat,"5 9,142",-
81,MINISTERUL ENERGIEI,"REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIANUCLEARĂ  (R.A.T.E.N. S.A.)",32306920,Apostoliceanu Sorin,Director/directorat,"5 3,765",-
82,MINISTERUL ENERGIEI,"COMPANIA NAȚIONALĂ PENTRU CONTROLUL CAZANELOR,INSTALAȚIILOR DE RIDICAT ȘI RECIPIENTELOR SUBPRESIUNE (C.N.C.I.R. S.A.)",27787860,"Stan -Olteanu ManuelaPetronela",Membru CA/CS,"2 3,130",-
82,MINISTERUL ENERGIEI,"COMPANIA NAȚIONALĂ PENTRU CONTROLUL CAZANELOR,INSTALAȚIILOR DE RIDICAT ȘI RECIPIENTELOR SUBPRESIUNE (C.N.C.I.R. S.A.)",27787860,Doloiu Maria Roberta,Membru CA/CS,"2 3,130",-
82,MINISTERUL ENERGIEI,"COMPANIA NAȚIONALĂ PENTRU CONTROLUL CAZANELOR,INSTALAȚIILOR DE RIDICAT ȘI RECIPIENTELOR SUBPRESIUNE (C.N.C.I.R. S.A.)",27787860,Pagu Angelica,Membru CA/CS,"2 3,130",-
82,MINISTERUL ENERGIEI,"COMPANIA NAȚIONALĂ PENTRU CONTROLUL CAZANELOR,INSTALAȚIILOR DE RIDICAT ȘI RECIPIENTELOR SUBPRESIUNE (C.N.C.I.R. S.A.)",27787860,Anton Cristian Ioan,Membru CA/CS,"2 3,130",-
82,MINISTERUL ENERGIEI,"COMPANIA NAȚIONALĂ PENTRU CONTROLUL CAZANELOR,INSTALAȚIILOR DE RIDICAT ȘI RECIPIENTELOR SUBPRESIUNE (C.N.C.I.R. S.A.)",27787860,Vacant,Membru CA/CS,,
82,MINISTERUL ENERGIEI,"COMPANIA NAȚIONALĂ PENTRU CONTROLUL CAZANELOR,INSTALAȚIILOR DE RIDICAT ȘI RECIPIENTELOR SUBPRESIUNE (C.N.C.I.R. S.A.)",27787860,Raicu Ionica,Director/directorat,"58,521",-
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Marinescu Dan- Constantin,Membru CA/CS,"2 4,032","288,384"
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Scarlat Dan- Florin,Membru CA/CS,"2 4,032","288,384"
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Chirita Sorin,Membru CA/CS,"2 4,032","288,384"
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Bondalici Mădălin Mihai,Membru CA/CS,"2 4,032","288,384"
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Andrei Ioan Costina,Membru CA/CS,"2 4,032","288,384"
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Radu Oana Laura,Director/directorat,"3 5,274","423,288"
83,MINISTERUL ENERGIEI,ELECTROCENTRALE GRUP,31028788,Mușat Clarisa - Stefi,Director/directorat,"2 3,516","282,192"
84,MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Văduva Silviu,Membru CA/CS,"33,299",-
"",MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Pavel Mirela Adriana,Membru CA/CS,"33,299",-
84,MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Barbu Irina Mihaela,Membru CA/CS,"33,299",-
84,MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Meran Dan Ştefan,Membru CA/CS,"33,299",-
84,MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Ciucur Ionuţ,Membru CA/CS,"33,299",-
84,MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Creţu Claudiu,Director/directorat,"72,459","73,214"
84,MINISTERUL ENERGIEI,ELECTROCENTRALE BUCUREȘTI  (ELCEN),15189596,Vîlca Marcel,Director/directorat,"48,306","48,809"
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Nica Gabriela Andreea,Membru CA/CS,"2 3,786",-
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Gherghe Cosmin Lucian,Membru CA/CS,"2 3,786",-
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Bunta Gabriel,Membru CA/CS,"2 3,786",-
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Olaru Anamaria-Magdalena,Membru CA/CS,"2 3,786",-
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Petre Madalin Gerogescu (Fp),Membru CA/CS,"2 3,786",-
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Lorena Voican,Director/directorat,"3 4,836",-
85,MINISTERUL ENERGIEI,ELCTROCENTRALE CRAIOVA,46943133,Băsescu Cristian,Director/directorat,"2 8,333",-
86,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC VALEA JIULUI,30859649,Roșu Ioan-Cristian,Membru CA/CS,"1 2,016",-
86,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC VALEA JIULUI,30859649,Buda Gheorghe,Membru CA/CS,"1 2,016",-
86,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC VALEA JIULUI,30859649,Biris Liviu-Ioan,Membru CA/CS,"1 2,016",-
86,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC VALEA JIULUI,30859649,Marinescu Dan Constantin,Membru CA/CS,"1 2,016",-
86,MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC VALEA JIULUI,30859649,Vacant,,,
"",MINISTERUL ENERGIEI,COMPLEXUL ENERGETIC VALEA JIULUI,30859649,Mija Eduaard Aurelian,Director/directorat,"3 8,560",-
87,MINISTERUL ENERGIEI,MIDIA GREEN ENERGY,14325363,Sinan Mustafa,Membru CA/CS,"3 7,821",-
87,MINISTERUL ENERGIEI,MIDIA GREEN ENERGY,14325363,Sorin Danut Popescu,Membru CA/CS,"2 8,388",-
87,MINISTERUL ENERGIEI,MIDIA GREEN ENERGY,14325363,Petre Iulian Nicolescu,Membru CA/CS,"2 8,388",-
87,MINISTERUL ENERGIEI,MIDIA GREEN ENERGY,14325363,Utekov Yedil,Membru CA/CS,"3 7,821",-
87,MINISTERUL ENERGIEI,MIDIA GREEN ENERGY,14325363,Suleimanov Albert,Membru CA/CS,"3 7,821",-
87,MINISTERUL ENERGIEI,MIDIA GREEN ENERGY,14325363,Turgay Chemal,Director/directorat,"5 0,429",-
88,MINISTERUL ENERGIEI,"INSTITUTUL DE CERCETARE ȘTIINȚIFICĂ, INGINERIETEHNOLOGICĂ ȘI PROIECTARE MINE PE LIGNIT(I.C.S.I.T.P.M.L. S.A.)",3730549,"UngureanuAdriana Lorena",Membru CA/CS,"4,662",-
88,MINISTERUL ENERGIEI,"INSTITUTUL DE CERCETARE ȘTIINȚIFICĂ, INGINERIETEHNOLOGICĂ ȘI PROIECTARE MINE PE LIGNIT(I.C.S.I.T.P.M.L. S.A.)",3730549,Niculaita Nicolae,Membru CA/CS,"4,662",-
88,MINISTERUL ENERGIEI,"INSTITUTUL DE CERCETARE ȘTIINȚIFICĂ, INGINERIETEHNOLOGICĂ ȘI PROIECTARE MINE PE LIGNIT(I.C.S.I.T.P.M.L. S.A.)",3730549,Vacant,Membru CA/CS,,-
88,MINISTERUL ENERGIEI,"INSTITUTUL DE CERCETARE ȘTIINȚIFICĂ, INGINERIETEHNOLOGICĂ ȘI PROIECTARE MINE PE LIGNIT(I.C.S.I.T.P.M.L. S.A.)",3730549,,Director/directorat,"15,000",-
89,MINISTERUL APARARII NATIONALE,Compania Națională ROMTEHNICA,472771,Bachide Eduard,Membru CA/CS,"10,370",-
89,MINISTERUL APARARII NATIONALE,Compania Națională ROMTEHNICA,472771,Mișa Ionuț,Membru CA/CS,"10,370",-
89,MINISTERUL APARARII NATIONALE,Compania Națională ROMTEHNICA,472771,Vacant,Vacant,-,Nu a fost stabilită
89,MINISTERUL APARARII NATIONALE,Compania Națională ROMTEHNICA,472771,Ghidiu Ruxandra,Director/directorat,-,Nu a fost stabilită
90,MINISTERUL APARARII NATIONALE,RO-ARMYSECURITY,29136150,Stănoiu Liviu,Membru CA/CS,"4,456",-
90,MINISTERUL APARARII NATIONALE,RO-ARMYSECURITY,29136150,Cojocaru Simona,Membru CA/CS,"4,456",-
90,MINISTERUL APARARII NATIONALE,RO-ARMYSECURITY,29136150,Cotîrță Anca,Membru CA/CS,"4,456",-
90,MINISTERUL APARARII NATIONALE,RO-ARMYSECURITY,29136150,Bobircă Nicoleta,Membru CA/CS,"4,456",-,
90,MINISTERUL APARARII NATIONALE,RO-ARMYSECURITY,29136150,Stănoiu Liviu,Director/directorat,"26,736",-,
90,MINISTERUL APARARII NATIONALE,RO-ARMYSECURITY,29136150,Nițu Alexandru,Director/directorat,"18,480",-,
"",,SOCIETATEA COMERCIALA STUDIOUL CINEMATOGRAFIC,,,,,,
91,MINISTERUL CULTURII,,338819,Florin Minea,Membru CA/CS,7 0,-,
"",,ANIMAFILM,,,,,,
"",,SOCIETATEA COMERCIALA STUDIOUL CINEMATOGRAFIC,,,,,,
91,MINISTERUL CULTURII,,338819,Gabriela Stejeroiu,Membru CA/CS,7 0,-,
"",,ANIMAFILM,,,,,,
"",,SOCIETATEA COMERCIALA STUDIOUL CINEMATOGRAFIC,,,,,,
91,MINISTERUL CULTURII,,338819,Elisabeta Covaliu,Director/directorat,7 00,-,
"",,ANIMAFILM,,,,,,
92,MINISTERUL CULTURII,COMPANIA NATIONALA A IMPRIMERIILOR CORESI SA,11648971,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,,insolventa
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Felix-Florin Braniște,Membru CA/CS,"8,130",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Alexandru Cordoș,Membru CA/CS,"8,130",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Gheorghe Constantin Gabriel,Membru CA/CS,-,-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Petcu Monica Aureliana,Membru CA/CS,"8,130",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Sorin Lucaci,Membru CA/CS,"8,130",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Gheorghe Constantin Gabriel,Director/directorat,"3 9,105",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
93,,SOCIETATEA NATIONALA A APELOR MINERALE,1590040,Laurențiu Zainea,Director/directorat,"4 2,648",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Nicolae Cîmpeanu,Membru CA/CS,"18,778",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Constantin Dan Dobrea,Membru CA/CS,"18,778",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Ioan Dragoș Moraru,Membru CA/CS,"18,778",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Simona Georgiana Ochian,Membru CA/CS,"18,778",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Ion Valeriu Ioniță,Membru CA/CS,"18,778",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Constantin Dan Dobrea,Director/directorat,"3 8,776",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
94,,SOCIETATEA NAȚIONALĂ A SĂRII,1590430,Dan Purdescu,Director/directorat,"2 2,375",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,Ionuț-Valeriu Andrei,Director/directorat,"38,700",,Nu a fost stabilită
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,Dragoș-Vasile Popeangă,Director/directorat,"25,750",,Nu a fost stabilită
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,Flavius-Constantin Nedelcea,Membru CA/CS,"19,300",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,Ionuț-ValeriuAndrei,Membru CA/CS,-,-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,ConstantinMihai,Membru CA/CS,"19,300",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,ConstanțaComan,Membru CA/CS,"19,300",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
95,,COMPANIA NAȚIONALĂ LOTERIA ROMÂNĂ,12397185,Ioana-MariaȚira,Membru CA/CS,"19,300",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
96,,MAMAIA S.A.,1890659,Ursu Carmen,Director/directorat,"1 3,245",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
96,,MAMAIA S.A.,1890659,Buzu Corneliu,Membru CA/CS,"3,654",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
96,,MAMAIA S.A.,1890659,Neghina Florin Aurel,Membru CA/CS,"3,654",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
96,,MAMAIA S.A.,1890659,Mihai Constantin Marian,Membru CA/CS,"3,654",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
97,,TELEGONDOLA-MAMAIA,15551423,Cazacu George,Director/directorat,"1 3,245",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
97,,TELEGONDOLA-MAMAIA,15551423,Cozma Olivia-Mihaela,Membru CA/CS,"3,070",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
97,,TELEGONDOLA-MAMAIA,15551423,Turcu Tudor-Ioan,Membru CA/CS,"3,070",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
97,,TELEGONDOLA-MAMAIA,15551423,Sârbu Anca,Membru CA/CS,"3,070",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TELEGONDOLA-MAMAIA,15551423,Costache Laurențiu,Membru CA/CS,"3,070",-
97,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TELEGONDOLA-MAMAIA,15551423,Filip Cosmin,Membru CA/CS,"3,070",-
98,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",NEPTUN-OLIMP,2423562,Florin Aurel Neghină,Membru CA/CS,"1,500",-
98,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",NEPTUN-OLIMP,2423562,Ioana Dumitrache,Membru CA/CS,"1,500",-
98,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",NEPTUN-OLIMP,2423562,Constantin Marian Mihai,Membru CA/CS,"1,500",-
98,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",NEPTUN-OLIMP,2423562,Florin Dănuț Buzatu,Membru CA/CS,"1,500",-
98,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",NEPTUN-OLIMP,2423562,Victor Alexandru Frunză,Membru CA/CS,"1,500",-
98,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",NEPTUN-OLIMP,2423562,Dima Lascu,Director/directorat,"1 2,000",-
99,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC,24979799,Avram Valentin-Gabriel,Director/directorat,"1 1,500",-
99,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC,24979799,Baciună Diana-Ștefana,Membru CA/CS,"6,071",-
99,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC,24979799,Butacu Simona-Valentina,Membru CA/CS,"6,071",-
99,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC,24979799,Cozma Vasile-Felix,Membru CA/CS,"6,071",-
99,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC,24979799,Pîrjol Emil-Răzvan,Membru CA/CS,"6,071",-
99,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC,24979799,Sloată Florentina,Membru CA/CS,"6,071",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Vacant,Membru CA/CS,,
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Haschka Luiza Mihaela,Membru CA/CS,"3,692",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Ciobotaru Iuliana,Membru CA/CS,"3,692",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Hnatec Teodor Gabriel,Membru CA/CS,"3,692",-
